Variable,Units,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2016,2016,6,155,153,253,1.201131266,0,-0.43,-0.291428571,17.4,11.4,14.4,0.9,9.1,22.2,1606,84.9,1007.6,16.4,16.2,15.9,15.8,15.5,14.7,0,3,2.109,2.109,20.067,3.71676244,0.775342719,0.122037061,16.17142857,11.24285714,13.7,5.214285714,9.885714286,25.18571429,1255.842857,84.84285714,1006.628571,16.04285714,16.02857143,16.12857143,16.14285714,16.07142857,14.97142857,0,2.457142857,1.866526071,1.817215801,35.99766991,1.845087571,0.987316852,0.130965984
27/06/2016,2016,6,177,148,212,1.201131266,0,-0.43,0.790571429,17.6,11.3,14.5,0.7,10.1,23.2,1568.2,75.9,1015.5,15.5,15.5,15.4,15.4,15.3,14.6,0,4,2.378,2.378,14.834,1.821414954,0.472831105,0.050843824,17.41428571,11.71428571,14.57142857,2.942857143,9.857142857,24.37142857,1399.442857,83.25714286,1012.957143,16.1,16.02857143,15.92857143,15.87142857,15.61428571,14.68571429,0,3.285714286,2.195252004,2.195252004,18.30437956,2.043239672,0.542225358,0.047519759
04/07/2016,2016,7,114,109,164,1.060098619,0,-1.76,0.039857143,14.3,10,12.2,5.8,9.4,27.9,1197.1,84.3,1011.6,14.9,14.9,15,14.9,14.8,14.3,0,2.7,1.88,1.88,0,1.511970375,0.489819006,0.048288428,16.14285714,10.28571429,13.22857143,5.314285714,8.785714286,26.55714286,1428.942857,81.28571429,1006.271429,15.07142857,15.07142857,15.05714286,15,14.95714286,14.45714286,1.6,3.742857143,2.225639909,2.225639909,2.908384398,1.964165611,0.557787666,0.064559081
11/07/2016,2016,7,NA,NA,NA,1.060098619,0,-1.76,-1.652857143,16.2,11.9,14.1,3.3,10.9,27.7,1304.4,81.2,1004.6,15.9,15.9,15.9,15.9,15.6,14.6,10.6,2.1,1.766,1.766,0,5.309969652,1.587995601,0.160843102,17.71428571,12.6,15.17142857,3.842857143,8.914285714,25.54285714,1073.685714,86.85714286,1007.542857,16.3,16.15714286,15.91428571,15.77142857,15.3,14.4,8.4,1.328571429,1.607198778,1.607198778,0.475773253,2.790927389,1.087120591,0.157101831
18/07/2016,2016,7,125,103,100,1.060098619,0,-1.76,-0.156142857,22,12.9,17.5,0,7.1,20.5,2429.7,78.2,1016.2,0,19.2,18.1,17.5,16.2,14.7,0,10.3,4.27,4.27,10.505,1.192496421,0.228192181,0.028453437,18.62857143,11.94285714,15.3,2.428571429,8.114285714,21.57142857,1676.3,81.74285714,1017.771429,9.4,16.78571429,16.35714286,16.15714286,15.61428571,14.62857143,2.957142857,5.628571429,2.789718705,2.789718705,3.127410432,2.241195855,0.424560775,0.042462495
25/07/2016,2016,7,142,158,101,1.060098619,0,-1.76,-0.444714286,13.4,13.4,13.4,8.7,5.7,15.2,748.8,91.4,1014.9,15.8,15.8,16.1,16.2,16.2,15.4,0,0,1.095,1.095,5.22,0.942228385,0.700023896,0.040287059,18.81428571,12.65714286,15.72857143,2.585714286,6.742857143,18.75714286,1152.8,86.55714286,1011.757143,12.47142857,17.71428571,17.57142857,14.85714286,16.81428571,15.25714286,1.514285714,2.242857143,1.830723557,1.830723557,12.98245271,0.770982676,0.366515556,0.028144143
01/08/2016,2016,8,119,139,152,1.022682453,0,-1.65,-1.243285714,17.2,12.6,14.9,0.1,9.3,21.7,847,87.1,1008.7,16.3,16.2,16.3,16.2,16,15.3,NA,1.1,1.382,1.382,5.412,1.195642991,0.235134169,0.030697929,17.72857143,12.04285714,14.87142857,3.742857143,6.7,19.34285714,1037.3,85.61428571,1011.942857,14.15714286,16.48571429,16.4,16.37142857,16.05714286,15.31428571,0,1,1.37632634,1.37632634,2.149261125,2.241175548,0.77273054,0.089830747
08/08/2016,2016,8,138,144,277,1.022682453,0,-1.65,-0.986857143,17,12,14.5,0.4,11.9,27.3,1420.1,73.2,1022.6,15.1,15.1,15.4,15.6,15.9,15.4,10.2,7.7,3.031,3.031,2.631,1.848445862,0.500005338,0.056628432,18.12857143,13.05714286,15.61428571,2.985714286,11.72857143,28.57142857,1142.357143,85.68571429,1010.714286,16.77142857,16.67142857,16.61428571,16.57142857,16.2,15.34285714,3.371428571,2.8,1.822777465,1.822777465,1.463729278,3.339203048,0.889182548,0.159849757
15/08/2016,2016,8,142,140,224,1.022682453,0,-1.65,-0.426571429,22.2,12.2,17.2,0,11.8,26.5,2303.3,76.6,1016.4,0,17.2,16.4,0,15.6,15,0,12.3,4.346,4.346,5.825,2.325935776,0.27533608,0.035374638,17.37142857,12.64285714,15.01428571,3.257142857,9.557142857,23.04285714,912.5142857,85.52857143,1021,13.17142857,15.58571429,15.47142857,13.27142857,15.4,15.14285714,0,2.514285714,1.674135959,1.674135959,1.345280383,3.197083754,0.996206005,0.130256814
22/08/2016,2016,8,240,187,372,1.022682453,0,-1.65,-0.969571429,19.5,13.1,16.3,1.6,7.7,21.7,1661.6,85.6,1014.4,17.9,17.7,17.1,16.9,16.2,15.4,0,7.4,2.85,2.85,1.25,6.020374913,1.290230595,0.285390584,19.28571429,13.7,16.51428571,8.057142857,10.47142857,25.98571429,968.1571429,88.65714286,1004.028571,14.58571429,17.18571429,16.95714286,14.41428571,16.28571429,13.12857143,0,3.228571429,1.844761627,1.844761627,1.515475365,4.672640895,1.039258055,0.304091798
29/08/2016,2016,8,122,127,180,1.022682453,0,-1.65,-1.192285714,18.9,10.6,14.8,0,7.6,21.9,617.2,92.2,1017.8,15.9,16,16.2,16.3,16.1,15.4,0,0.4,0.955,0.955,4.16,1.40776857,0.236856889,0.034852675,18.7,11.3,15.01428571,3.357142857,7.028571429,20.12857143,1262.728571,85.9,1014.514286,9.157142857,16.38571429,16.3,16.31428571,16.05714286,15.45714286,0,5.485714286,2.241884269,2.241884269,2.441645673,2.470358925,0.397287096,0.06324268
05/09/2016,2016,9,228,175,332,1.224226997,0,0.61,0.408714286,20.4,14,17.2,19.1,9.9,24.7,1265.3,93.2,1008.4,17.8,17.6,16.9,16.6,15.9,15.3,0,4.2,1.864,1.864,0,12.41644693,3.820717496,1.366856576,18.54285714,12.82857143,15.7,9.528571429,9.5,27.27142857,956.4,88.25714286,1010.142857,16.22857143,16.17142857,16,16.05714286,15.78571429,15.35714286,0,2.442857143,1.43118154,1.43118154,0.256397647,6.307296573,2.036942067,0.56661951
12/09/2016,2016,9,172,144,293,1.224226997,0,0.61,0.552142857,17.6,10.9,14.2,24.2,6.5,24,1085.5,87.2,997.5,16.2,16.2,15.5,15.4,15.1,15.3,0,5.6,1.947,1.947,0,43.66535307,9.234169887,8.979778311,17.98571429,12.17142857,15.07142857,8.114285714,10.64285714,30.35714286,684.5142857,88.32857143,1002.842857,15.68571429,15.75714286,15.8,13.74285714,15.87142857,15.51428571,0,1.742857143,1.150221858,1.150221858,0,12.59053924,2.232461682,1.542788303
19/09/2016,2016,9,220,212,350,1.224226997,0,0.61,0.779,17.3,11.7,14.5,0,6.2,15.4,811.8,77.5,1022,14.5,14.5,14.6,14.8,14.9,14.9,0,1.1,0.898,0.898,0.898,2.123491671,0.394208115,0.086499698,17.45714286,11,14.21428571,1.242857143,7.185714286,21.12857143,863.4428571,85.04285714,1015.228571,12.44285714,14.61428571,14.71428571,14.87142857,14.95714286,15.05714286,0,2.642857143,1.252652988,1.252652988,1.306498261,5.224491707,0.450618474,0.085469603
26/09/2016,2016,9,150,102,309,1.224226997,0,0.61,-0.936,16.9,9.8,13.3,6.1,6.3,18.2,836.9,86.6,1010.5,13.3,13.2,13.1,13.2,13.5,14.3,0,2.7,1.109,1.109,0,9.539688413,0.738969164,0.19172845,15.91428571,9.457142857,12.67142857,8.214285714,9.9,27.84285714,610.5,87.02857143,1007.285714,13.02857143,13.08571429,13.31428571,13.64285714,14.02857143,14.62857143,0,1.614285714,0.916107651,0.916107651,0.082124919,9.247727591,1.513610153,0.797720524
03/10/2016,2016,10,139,110,197,1.030856712,0,0.41,0.189571429,15,11.8,13.4,9.7,16.5,31.7,139.6,92.3,1013.9,12.5,12.4,12.3,12.5,12.7,13.8,0,0,0.532,0.532,0,2.343476787,0.474007475,0.094461278,14.42857143,9.428571429,11.91428571,4.328571429,10.81428571,28.41428571,670.65,88.85714286,1009.857143,12.34285714,12.47142857,12.78571429,13.17142857,13.47142857,14.1,1.816666667,3.728571429,1.19201312,1.19201312,0.461115169,4.963951253,0.88687097,0.231615805
10/10/2016,2016,10,98,100,129,1.030856712,0,0.41,0.253714286,15,8,11.5,0,6,27,500.6,84.3,1024.6,12.4,12.5,12.5,12.7,12.7,13.3,0,0,0.453,0.453,4.607,0.808688474,0.194915932,0.044552675,15.18571429,9.557142857,12.35714286,0.585714286,8.728571429,23.71428571,641.3285714,84.5,1022.814286,12.08571429,12.15714286,12.25714286,12.54285714,12.78571429,13.52857143,1.442857143,2.728571429,0.960152608,0.960152608,3.179732699,1.785415121,0.357391793,0.094335501
17/10/2016,2016,10,95,103,193,1.030856712,0,0.41,0.358285714,15.3,8.8,12,4,10.4,29.2,566.9,84.6,1007.4,11.1,11.1,11,11.2,11.5,12.7,7.1,3.4,0.919,0.919,0,0.732230528,0.367992192,0.073939507,13.54285714,7.757142857,10.64285714,1.5,8.542857143,22.65714286,583.4428571,82.87142857,1007.628571,10.28571429,10.44285714,10.77142857,11.24285714,11.92857143,13.05714286,1.014285714,2.428571429,0.781165737,0.781165737,4.887847066,0.611724883,0.226334902,0.047061541
24/10/2016,2016,10,51,48,78,1.030856712,0,0.41,-0.216714286,13.2,4.1,8.7,0.1,6.3,17.1,854.8,77.9,1013.9,8.6,8.9,9.2,9.9,10.9,12.3,0,6.7,1.179,1.179,3.117,0.480987233,0.172468411,0.044722879,13.54285714,7.314285714,10.41428571,0.257142857,6.828571429,18.8,538.3428571,79.8,1017.485714,9.9,10.04285714,10.38571429,10.81428571,11.4,12.5,1.857142857,2.085714286,0.640711657,0.640711657,1.202244334,0.693134869,0.229633096,0.059846861
31/10/2016,2016,10,78,104,100,1.030856712,0,0.41,0.365714286,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.219,0.219,1.475,1.17940706,0.243959293,0.0585565,7.557142857,5.185714286,6.371428571,2.328571429,3.828571429,11.18571429,240.9,94.175,1021.7,6.128571429,6.1,6.028571429,6.128571429,6.242857143,6.885714286,4.528571429,1.1,0.399855897,0.399855897,1.200098584,1.47307636,0.599045457,0.10499501
07/11/2016,2016,11,58,23,158,0.607091335,0,-0.16,-0.269571429,10.6,3.2,6.9,0.1,3.4,13.9,466.6,77.8,1018.2,5.3,5.6,6.4,7.4,9,11.5,0,2.5,0.485,0.485,0.385,1.650993332,0.365604883,0.108593421,10.81666667,5.566666667,8.2,3.371428571,6.316666667,23.06666667,393.8,82.4,1016.333333,7.516666667,7.783333333,8.466666667,9.216666667,10.33333333,11.9,1.733333333,2.9,0.551217409,0.551217409,0.621352055,1.317109723,0.419896174,0.096962884
14/11/2016,2016,11,NA,NA,NA,0.607091335,0,-0.16,0.467142857,13,12,12.5,15.1,7.9,21.4,108.7,99.3,1022.5,11.6,11.3,10.7,10.4,9.9,10.5,11.9,0,0.235,0.235,0,5.211400139,0.666618678,0.166271618,11.65714286,7.457142857,9.542857143,10.77142857,9.428571429,27.6,195.1142857,88.35714286,1011.2,8.4,8.371428571,8.328571429,8.614285714,9.071428571,9.114285714,4.6,1.1,0.342098818,0.342098818,0,6.793925981,1.691657225,0.779426869
21/11/2016,2016,11,100,93,165,0.607091335,0,-0.16,0.160428571,7.2,2.4,4.8,5.9,8.2,21.1,300.5,88.8,998.3,3.2,3.4,4,5.1,6.8,9.9,0,3.2,0.413,0.413,0,3.041946039,0.437137147,0.126923379,8.257142857,3.057142857,5.657142857,6.328571429,8.7,29.22857143,263.0142857,86.25714286,999.1,5.5,5.814285714,6.642857143,7.528571429,8.728571429,10.48571429,0.457142857,1.8,0.33166533,0.33166533,0.053307874,6.017041849,0.861685199,0.369687999
28/11/2016,2016,11,93,64,103,0.607091335,0,-0.16,-0.315428571,8.2,5.6,6.9,0,7.2,20,97.9,75.8,1026.7,5.7,5.6,5.8,6,6.3,8.4,4.2,0,0.155,0.155,1.95,0.974290665,0.23715855,0.059152962,7.971428571,1.757142857,4.857142857,1.214285714,5.785714286,16.74285714,264.8714286,87.65714286,1021.828571,3.257142857,3.485714286,3.971428571,4.728571429,6.014285714,8.971428571,0.6,3,0.373743854,0.373743854,1.244245945,1.929135574,0.372617004,0.105018077
05/12/2016,2016,12,55,45,62,-0.000223662,0,0.48,-0.746714286,7.7,3.3,5.5,0,6.8,18.4,234.4,84.5,1017,4.3,4.4,4.7,5.3,6.3,8.3,0,1.6,0.243,0.243,3.406,0.513111039,0.183215739,0.043865209,7.371428571,3.042857143,5.185714286,0.028571429,5.157142857,14.37142857,191.5428571,86,1024.571429,4.685714286,4.757142857,5.128571429,5.671428571,6.471428571,8.414285714,1.566666667,1.428571429,0.236478067,0.236478067,2.803404288,0.641118529,0.201510017,0.048551167
12/12/2016,2016,12,95,88,99,-0.000223662,0,0.48,-0.450714286,9.4,5.9,7.7,2.8,9,22.5,76,94.1,1012.3,7.3,7.3,7.6,8,8.5,9.1,0,0,0.136,0.136,0,1.245694706,0.331967858,0.05469993,12.57142857,8.171428571,10.38571429,2.4,11.62857143,28.08571429,146.2285714,89.97142857,1012.4,8.9,8.842857143,8.542857143,8.542857143,8.285714286,8.7,3.5,0.957142857,0.221658989,0.221658989,0.008247849,2.943664517,0.90174522,0.156763379
19/12/2016,2016,12,105,85,148,-0.000223662,0,0.48,-0.278285714,10.9,1.8,6.3,0.3,5.8,23.7,292.7,84.5,1024.3,6.7,6.9,7.2,7.5,7.8,8.8,0,5,0.471,0.471,0.171,1.522195517,0.551479861,0.092461053,10.84285714,3.985714286,7.428571429,1.285714286,7.428571429,24.77142857,209.2857143,86.1,1017.314286,6.585714286,6.714285714,7.014285714,7.414285714,7.985714286,9.028571429,1.214285714,2.514285714,0.30676194,0.30676194,0.154139732,2.537968118,0.68686353,0.141144799
26/12/2016,2016,12,80,53,97,-0.000223662,0,0.48,1.679714286,8,3.5,5.7,2.7,12,42.6,154.5,71,1028.3,5,5.2,6.1,6.8,7.6,8.4,0,0.3,0.157,0.157,0,8.228467005,0.765503408,0.275871933,10.18571429,4.428571429,7.285714286,8.385714286,13.44285714,41.58571429,123.2285714,82.72857143,1013.728571,6.014285714,6.057142857,6.3,6.742857143,7.285714286,8.571428571,0,0.7,0.186397634,0.186397634,0,7.012201222,1.625700664,0.583331906
